cassette_number,cassette_code,substrate_barcode,pallette_number,run
Cassette 01,A000093,000001E000287112,0,18
Cassette 01,A000093,000001E000287220,1,18
Cassette 01,A000093,000001E000287221,2,18
Cassette 01,A000093,000001E000287222,3,18
Cassette 01,A000093,000001E000287223,4,18
Cassette 01,A000093,000001E000287224,5,18
Cassette 01,A000093,000001E000287225,6,18
Cassette 01,A000093,000001E000287259,7,18
Cassette 01,A000093,000001E000287260,8,18
Cassette 01,A000093,000001E000287261,9,18
Cassette 01,A000093,000001E000287262,10,18
Cassette 01,A000093,000001E000287263,11,18
Cassette 01,A000093,000001E000287264,12,18
Cassette 01,A000093,000001E000287265,13,18
Cassette 01,A000093,000001E000287266,14,18
Cassette 01,A000093,000001E000287267,15,18
Cassette 01,A000093,000001E000287268,16,18
Cassette 01,A000093,000001E000287269,17,18
Cassette 01,A000093,000001E000287270,18,18
Cassette 01,A000093,000001E000287271,19,18
Cassette 01,A000093,000001E000287272,20,18
Cassette 01,A000093,000001E000287273,21,18
Cassette 01,A000093,000001E000287274,22,18
Cassette 01,A000093,000001E000287275,23,18
Cassette 01,A000093,000001E000287276,24,18
Cassette 01,A000093,000001E000287277,25,18
Cassette 02,A000105,000001E000287113,0,18
Cassette 02,A000105,000001E000287115,1,18
Cassette 02,A000105,000001E000287114,2,18
Cassette 02,A000105,000001E000287109,3,18
Cassette 02,A000105,000001E000287110,4,18
Cassette 02,A000105,000001E000287105,5,18
Cassette 02,A000105,000001E000287106,6,18
Cassette 02,A000105,000001E000287107,7,18
Cassette 02,A000105,000001E000287101,8,18
Cassette 02,A000105,000001E000287102,9,18
Cassette 02,A000105,000001E000287104,10,18
Cassette 02,A000105,000001E000287098,11,18
Cassette 02,A000105,000001E000287099,12,18
Cassette 02,A000105,000001E000287100,13,18
Cassette 02,A000105,000001E000287160,14,18
Cassette 02,A000105,000001E000287161,15,18
Cassette 02,A000105,000001E000287162,16,18
Cassette 02,A000105,000001E000287157,17,18
Cassette 02,A000105,000001E000287158,18,18
Cassette 02,A000105,000001E000287159,19,18
Cassette 02,A000105,000001E000287154,20,18
Cassette 02,A000105,000001E000287155,21,18
Cassette 02,A000105,000001E000287156,22,18
Cassette 02,A000105,000001E000287149,23,18
Cassette 02,A000105,000001E000287150,24,18
Cassette 02,A000105,000001E000287153,25,18
Cassette 03,A000033,000001E000287116,0,18
Cassette 03,A000033,000001E000287148,1,18
Cassette 03,A000033,000001E000287145,2,18
Cassette 03,A000033,000001E000287146,3,18
Cassette 03,A000033,000001E000287147,4,18
Cassette 03,A000033,000001E000287142,5,18
Cassette 03,A000033,000001E000287143,6,18
Cassette 03,A000033,000001E000287144,7,18
Cassette 03,A000033,000001E000287139,8,18
Cassette 03,A000033,000001E000287140,9,18
Cassette 03,A000033,000001E000287141,10,18
Cassette 03,A000033,000001E000287137,11,18
Cassette 03,A000033,000001E000287138,12,18
Cassette 03,A000033,000001E000287133,13,18
Cassette 03,A000033,000001E000287134,14,18
Cassette 03,A000033,000001E000287135,15,18
Cassette 03,A000033,000001E000287130,16,18
Cassette 03,A000033,000001E000287131,17,18
Cassette 03,A000033,000001E000287132,18,18
Cassette 03,A000033,000001E000287255,19,18
Cassette 03,A000033,000001E000287256,20,18
Cassette 03,A000033,000001E000287257,21,18
Cassette 03,A000033,000001E000287258,22,18
Cassette 03,A000033,000001E000287250,23,18
Cassette 03,A000033,000001E000287253,24,18
Cassette 03,A000033,000001E000287254,25,18
Cassette 04,A000114,000001E000287117,0,18
Cassette 04,A000114,000001E000287189,1,18
Cassette 04,A000114,000001E000287188,2,18
Cassette 04,A000114,000001E000287185,3,18
Cassette 04,A000114,000001E000287186,4,18
Cassette 04,A000114,000001E000287187,5,18
Cassette 04,A000114,000001E000287182,6,18
Cassette 04,A000114,000001E000287183,7,18
Cassette 04,A000114,000001E000287184,8,18
Cassette 04,A000114,000001E000287179,9,18
Cassette 04,A000114,000001E000287180,10,18
Cassette 04,A000114,000001E000287181,11,18
Cassette 04,A000114,000001E000287175,12,18
Cassette 04,A000114,000001E000287176,13,18
Cassette 04,A000114,000001E000287172,14,18
Cassette 04,A000114,000001E000287173,15,18
Cassette 04,A000114,000001E000287174,16,18
Cassette 04,A000114,000001E000287169,17,18
Cassette 04,A000114,000001E000287170,18,18
Cassette 04,A000114,000001E000287171,19,18
Cassette 04,A000114,000001E000287166,20,18
Cassette 04,A000114,000001E000287167,21,18
Cassette 04,A000114,000001E000287168,22,18
Cassette 04,A000114,000001E000287163,23,18
Cassette 04,A000114,000001E000287164,24,18
Cassette 04,A000114,000001E000287165,25,18
Cassette 01,A000031,000001E000290164,0,80
Cassette 01,A000031,000001E000290224,1,80
Cassette 01,A000031,000001E000290222,2,80
Cassette 01,A000031,000001E000290223,3,80
Cassette 01,A000031,000001E000290219,4,80
Cassette 01,A000031,000001E000290220,5,80
Cassette 01,A000031,000001E000290221,6,80
Cassette 01,A000031,000001E000290216,7,80
Cassette 01,A000031,000001E000290217,8,80
Cassette 01,A000031,000001E000290218,9,80
Cassette 01,A000031,000001E000290213,10,80
Cassette 01,A000031,000001E000290214,11,80
Cassette 01,A000031,000001E000290215,12,80
Cassette 01,A000031,000001E000290210,13,80
Cassette 01,A000031,000001E000290211,14,80
Cassette 01,A000031,000001E000290212,15,80
Cassette 01,A000031,000001E000290271,16,80
Cassette 01,A000031,000001E000290272,17,80
Cassette 01,A000031,000001E000290273,18,80
Cassette 01,A000031,000001E000290274,19,80
Cassette 01,A000031,000001E000290268,20,80
Cassette 01,A000031,000001E000290269,21,80
Cassette 01,A000031,000001E000290270,22,80
Cassette 01,A000031,000001E000290265,23,80
Cassette 01,A000031,000001E000290266,24,80
Cassette 01,A000031,000001E000290267,25,80
Cassette 02,A000110,000001E000290165,0,80
Cassette 02,A000110,000001E000290205,1,80
Cassette 02,A000110,000001E000290203,2,80
Cassette 02,A000110,000001E000290204,3,80
Cassette 02,A000110,000001E000290200,4,80
Cassette 02,A000110,000001E000290201,5,80
Cassette 02,A000110,000001E000290197,6,80
Cassette 02,A000110,000001E000290198,7,80
Cassette 02,A000110,000001E000290199,8,80
Cassette 02,A000110,000001E000290194,9,80
Cassette 02,A000110,000001E000290195,10,80
Cassette 02,A000110,000001E000290196,11,80
Cassette 02,A000110,000001E000290191,12,80
Cassette 02,A000110,000001E000290192,13,80
Cassette 02,A000110,000001E000290193,14,80
Cassette 02,A000110,000001E000290188,15,80
Cassette 02,A000110,000001E000290189,16,80
Cassette 02,A000110,000001E000290190,17,80
Cassette 02,A000110,000001E000290185,18,80
Cassette 02,A000110,000001E000290186,19,80
Cassette 02,A000110,000001E000290187,20,80
Cassette 02,A000110,000001E000290182,21,80
Cassette 02,A000110,000001E000290183,22,80
Cassette 02,A000110,000001E000290178,23,80
Cassette 02,A000110,000001E000290180,24,80
Cassette 02,A000110,000001E000290181,25,80
Cassette 03,A000107,000001E000290166,0,80
Cassette 03,A000107,000001E000290296,1,80
Cassette 03,A000107,000001E000290297,2,80
Cassette 03,A000107,000001E000290298,3,80
Cassette 03,A000107,000001E000290299,4,80
Cassette 03,A000107,000001E000290301,5,80
Cassette 03,A000107,000001E000290302,6,80
Cassette 03,A000107,000001E000290303,7,80
Cassette 03,A000107,000001E000290304,8,80
Cassette 03,A000107,000001E000290305,9,80
Cassette 03,A000107,000001E000290306,10,80
Cassette 03,A000107,000001E000290115,11,80
Cassette 03,A000107,000001E000290116,12,80
Cassette 03,A000107,000001E000290117,13,80
