run,pallette_number,substrate_barcode
18,0,000001E000287112
18,1,000001E000287220
18,2,000001E000287221
18,3,000001E000287222
18,4,000001E000287223
18,5,000001E000287224
18,6,000001E000287225
18,7,000001E000287259
18,8,000001E000287260
18,9,000001E000287261
18,10,000001E000287262
18,11,000001E000287263
18,12,000001E000287264
18,13,000001E000287265
18,14,000001E000287266
18,15,000001E000287267
18,16,000001E000287268
18,17,000001E000287269
18,18,000001E000287270
18,19,000001E000287271
18,20,000001E000287272
18,21,000001E000287273
18,22,000001E000287274
18,23,000001E000287275
18,24,000001E000287276
18,25,000001E000287277
18,0,000001E000287113
18,1,000001E000287115
18,2,000001E000287114
18,3,000001E000287109
18,4,000001E000287110
18,5,000001E000287105
18,6,000001E000287106
18,7,000001E000287107
18,8,000001E000287101
18,9,000001E000287102
18,10,000001E000287104
18,11,000001E000287098
18,12,000001E000287099
18,13,000001E000287100
18,14,000001E000287160
18,15,000001E000287161
18,16,000001E000287162
18,17,000001E000287157
18,18,000001E000287158
18,19,000001E000287159
18,20,000001E000287154
18,21,000001E000287155
18,22,000001E000287156
18,23,000001E000287149
18,24,000001E000287150
18,25,000001E000287153
18,0,000001E000287116
18,1,000001E000287148
18,2,000001E000287145
18,3,000001E000287146
18,4,000001E000287147
18,5,000001E000287142
18,6,000001E000287143
18,7,000001E000287144
18,8,000001E000287139
18,9,000001E000287140
18,10,000001E000287141
18,11,000001E000287137
18,12,000001E000287138
18,13,000001E000287133
18,14,000001E000287134
18,15,000001E000287135
18,16,000001E000287130
18,17,000001E000287131
18,18,000001E000287132
18,19,000001E000287255
18,20,000001E000287256
18,21,000001E000287257
18,22,000001E000287258
18,23,000001E000287250
18,24,000001E000287253
18,25,000001E000287254
18,0,000001E000287117
18,1,000001E000287189
18,2,000001E000287188
18,3,000001E000287185
18,4,000001E000287186
18,5,000001E000287187
18,6,000001E000287182
18,7,000001E000287183
18,8,000001E000287184
18,9,000001E000287179
18,10,000001E000287180
18,11,000001E000287181
18,12,000001E000287175
18,13,000001E000287176
18,14,000001E000287172
18,15,000001E000287173
18,16,000001E000287174
18,17,000001E000287169
18,18,000001E000287170
18,19,000001E000287171
18,20,000001E000287166
18,21,000001E000287167
18,22,000001E000287168
18,23,000001E000287163
18,24,000001E000287164
18,25,000001E000287165
80,0,000001E000290164
80,1,000001E000290224
80,2,000001E000290222
80,3,000001E000290223
80,4,000001E000290219
80,5,000001E000290220
80,6,000001E000290221
80,7,000001E000290216
80,8,000001E000290217
80,9,000001E000290218
80,10,000001E000290213
80,11,000001E000290214
80,12,000001E000290215
80,13,000001E000290210
80,14,000001E000290211
80,15,000001E000290212
80,16,000001E000290271
80,17,000001E000290272
80,18,000001E000290273
80,19,000001E000290274
80,20,000001E000290268
80,21,000001E000290269
80,22,000001E000290270
80,23,000001E000290265
80,24,000001E000290266
80,25,000001E000290267
80,0,000001E000290165
80,1,000001E000290205
80,2,000001E000290203
80,3,000001E000290204
80,4,000001E000290200
80,5,000001E000290201
80,6,000001E000290197
80,7,000001E000290198
80,8,000001E000290199
80,9,000001E000290194
80,10,000001E000290195
80,11,000001E000290196
